measured_packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,measured_jitter_ms,latency_range_ms,latency_variability_ms,latency_ratio,loss_difference_percent,loss_ratio,jitter_latency_ratio,condition
2.0,187.0,208.378,236.0,14.474,49.0,27.62200000000001,1.1143208556149733,0.0,1.0,0.0694603077100269,Moderate
2.0,141.0,156.357,184.0,7.577,43.0,27.643,1.1089148936170212,1.0,2.0,0.0484596148557467,Moderate
0.0,139.0,152.5,167.0,7.525,28.0,14.5,1.0971223021582734,-1.0,0.0,0.0493442622950819,Moderate
5.0,144.0,158.905,186.0,8.702,42.0,27.095,1.1035069444444443,4.0,5.0,0.0547622793492967,Moderate
3.0,143.0,155.371,199.0,8.74,56.0,43.62899999999999,1.0865104895104896,2.0,3.0,0.0562524538041204,Moderate
0.0,139.0,152.56,206.0,8.263,67.0,53.44,1.0975539568345325,-1.0,0.0,0.0541622968012585,Moderate
4.0,178.0,199.698,228.0,14.505,50.0,28.301999999999992,1.1218988764044944,2.0,2.0,0.0726346783643301,Moderate
5.0,181.0,205.768,243.0,14.574,62.0,37.232,1.136839779005525,3.0,2.5,0.0708273395280121,Moderate
1.0,185.0,209.081,238.0,14.378,53.0,28.91900000000001,1.1301675675675675,-1.0,0.5,0.0687676068126706,Moderate
4.0,185.0,209.719,263.0,16.0,78.0,53.281000000000006,1.1336162162162162,2.0,2.0,0.0762925629056022,Moderate
4.0,179.0,205.021,298.0,15.6,119.0,92.979,1.1453687150837988,2.0,2.0,0.0760897664141722,Moderate
3.0,236.0,260.299,325.0,17.625,89.0,64.70100000000002,1.1029618644067796,-2.0,0.6,0.0677105943549533,Poor
2.0,232.0,256.714,301.0,15.309,69.0,44.286,1.1065258620689655,-3.0,0.4,0.0596344570222114,Poor
4.0,236.0,258.812,371.0,19.042,135.0,112.188,1.0966610169491526,-1.0,0.8,0.0735746410521923,Poor
6.0,233.0,257.947,343.0,17.559,110.0,85.053,1.107068669527897,1.0,1.2,0.0680721233431674,Poor
7.0,228.0,252.075,289.0,12.783,61.0,36.92500000000001,1.105592105263158,2.0,1.4,0.0507110978875334,Poor
7.0,276.0,314.473,513.0,27.043,237.0,198.527,1.1393949275362318,2.0,1.4,0.0859946640888088,Poor
3.0,278.0,315.753,507.0,27.479,229.0,191.247,1.1358021582733813,-2.0,0.6,0.0870268849385437,Poor
6.0,280.0,327.149,465.0,42.43,185.0,137.851,1.1683892857142857,1.0,1.2,0.1296962546118129,Poor
12.0,274.0,311.795,460.0,30.322,186.0,148.20499999999998,1.1379379562043797,7.0,2.4,0.0972497955387353,Poor
9.0,277.0,314.78,464.0,23.389,187.0,149.22000000000003,1.1363898916967508,4.0,1.8,0.0743026875913336,Poor
5.0,235.0,262.663,310.0,16.138,75.0,47.33699999999999,1.1177148936170214,0.0,1.0,0.0614399439586085,Poor
2.0,238.0,266.092,321.0,17.464,83.0,54.908000000000015,1.118033613445378,-3.0,0.4,0.0656314357440283,Poor
8.0,232.0,260.946,362.0,20.044,130.0,101.05399999999996,1.1247672413793104,3.0,1.6,0.076812827174971,Poor
2.0,235.0,259.031,312.0,16.289,77.0,52.969,1.1022595744680852,-3.0,0.4,0.062884365191811,Poor
6.0,238.0,265.479,325.0,15.226,87.0,59.521000000000015,1.1154579831932772,1.0,1.2,0.0573529356370937,Poor
