timestamp,packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,latency_range_ms
2026-09-15 15:22:00,0.0,31.0,42.73,73.1,15.733,42.1
2026-09-15 15:22:17,0.0,25.1,27.86,32.2,2.044,7.1
2026-09-15 15:22:44,0.0,26.6,28.86,33.4,2.367,6.8
2026-09-15 15:22:58,0.0,31.1,33.98,36.4,1.867,5.3
2026-09-15 15:23:15,0.0,29.3,33.87,43.0,3.278,13.7
2026-09-15 15:23:29,0.0,26.7,28.58,30.7,1.456,4.0
2026-09-15 15:23:44,10.0,50.7,55.422,61.7,4.3,11.0
2026-09-15 15:23:59,0.0,50.2,57.27,78.8,7.889,28.6
2026-09-15 15:24:18,0.0,51.6,56.56,76.5,6.811,24.9
2026-09-15 15:24:36,0.0,50.2,53.92,61.5,3.2,11.3
2026-09-15 15:24:50,0.0,60.6,70.7,133.0,18.411,72.4
2026-09-15 15:25:05,0.0,57.7,62.77,69.8,3.422,12.1
2026-09-15 15:25:19,0.0,73.2,78.19,81.8,2.422,8.6
2026-09-15 15:25:36,0.0,45.3,51.27,67.6,7.8,22.3
2026-09-15 15:25:51,0.0,78.4,83.89,91.3,6.144,12.9
2026-09-15 15:26:06,0.0,59.2,66.08,91.6,8.956,32.4
2026-09-15 15:26:21,0.0,61.2,77.81,211.0,18.311,149.8
2026-09-15 15:26:36,0.0,59.7,64.38,81.8,4.3,22.1
2026-09-15 15:26:51,0.0,77.7,108.57,194.0,21.978,116.3
2026-09-15 15:27:05,0.0,46.2,74.86,216.0,45.733,169.8
2026-09-15 15:27:21,0.0,78.3,83.45,94.8,6.011,16.5
2026-09-15 15:27:35,0.0,78.0,80.54,83.5,2.3,5.5
2026-09-15 15:27:50,0.0,46.3,52.3,71.7,7.067,25.4
2026-09-15 15:28:07,0.0,51.6,59.32,89.6,11.644,38.0
2026-09-15 15:28:26,0.0,45.9,63.97,190.0,33.344,144.1
2026-09-15 15:28:41,10.0,52.4,59.467,79.9,10.625,27.5
2026-09-15 15:28:59,0.0,52.1,55.22,61.0,1.8,8.9
2026-09-15 15:29:15,0.0,79.5,81.61,83.8,1.744,4.3
2026-09-15 15:29:38,0.0,59.7,63.43,67.1,3.656,7.4
2026-09-15 15:29:52,0.0,50.2,53.9,59.2,2.922,9.0
2026-09-15 15:30:12,10.0,64.2,68.389,82.6,4.425,18.4
2026-09-15 15:30:32,0.0,45.5,49.97,55.1,3.233,9.6
2026-09-15 15:30:51,0.0,53.7,59.32,63.4,3.633,9.7
2026-09-15 15:31:06,0.0,51.1,63.44,136.0,13.256,84.9
2026-09-15 15:31:24,0.0,56.2,73.84,191.0,17.678,134.8
2026-09-15 15:31:41,0.0,52.6,57.18,61.8,3.622,9.2
2026-09-15 15:32:02,0.0,62.8,69.15,77.1,4.056,14.3
2026-09-15 15:32:18,0.0,45.8,50.87,57.9,3.411,12.1
2026-09-15 15:32:32,0.0,48.7,67.97,195.0,36.433,146.3
2026-09-15 15:32:48,0.0,53.9,59.82,74.3,5.278,20.4
2026-09-15 15:33:03,10.0,54.9,64.289,72.4,6.288,17.5
2026-09-15 15:33:19,10.0,62.1,77.867,113.0,24.175,50.9
2026-09-15 15:33:36,0.0,56.4,60.11,65.6,3.711,9.2
2026-09-15 15:33:50,0.0,31.4,35.93,44.1,3.6,12.7
2026-09-15 15:34:06,0.0,26.2,31.0,38.7,6.589,12.5
2026-09-15 15:34:20,0.0,31.1,36.13,62.1,7.933,31.0
2026-09-15 15:34:34,0.0,31.1,56.18,165.0,43.089,133.9
2026-09-15 15:34:51,0.0,30.2,51.32,203.0,40.8,172.8
2026-09-15 15:35:06,0.0,29.8,40.91,85.2,15.767,55.4
2026-09-15 15:35:20,0.0,29.9,33.56,40.9,4.456,11.0
2026-09-15 15:35:35,10.0,31.9,40.756,73.6,6.262,41.7
2026-09-15 15:35:50,0.0,28.9,32.22,35.2,1.9,6.3
2026-09-15 15:36:05,0.0,29.7,32.22,38.9,2.978,9.2
2026-09-15 15:36:22,0.0,30.4,35.25,41.4,3.033,11.0
2026-09-15 15:36:39,0.0,30.6,33.4,42.3,3.167,11.7
2026-09-15 15:36:54,10.0,31.8,41.256,92.7,19.462,60.9
2026-09-15 15:37:09,0.0,29.7,33.81,40.7,3.133,11.0
2026-09-15 15:37:23,0.0,25.3,30.28,34.7,3.878,9.4
2026-09-15 15:37:37,0.0,29.6,33.95,40.8,4.722,11.2
2026-09-15 15:37:53,0.0,24.6,36.04,63.8,12.5,39.2
2026-09-15 15:38:09,0.0,30.0,34.5,40.2,4.156,10.2
2026-09-15 15:38:23,0.0,29.5,34.1,41.3,4.956,11.8
2026-09-15 15:38:38,0.0,30.6,36.92,68.4,9.911,37.8
2026-09-15 15:38:52,0.0,46.8,49.19,53.5,2.756,6.7
2026-09-15 15:39:08,0.0,58.3,74.02,126.0,17.856,67.7
2026-09-15 15:39:23,0.0,52.8,55.72,59.3,3.156,6.5
2026-09-15 15:39:38,0.0,59.7,63.81,68.8,3.422,9.1
2026-09-15 15:39:55,0.0,45.4,89.03,222.0,41.978,176.6
2026-09-15 15:40:09,0.0,51.3,62.89,147.0,21.822,95.7
2026-09-15 15:40:24,0.0,60.5,81.9,209.0,33.678,148.5
2026-09-15 15:40:38,0.0,52.9,66.82,167.0,27.811,114.1
2026-09-15 15:40:52,0.0,51.3,74.86,189.0,38.6,137.7
2026-09-15 15:41:07,0.0,57.0,59.64,66.1,1.967,9.1
2026-09-15 15:41:21,0.0,59.2,64.71,68.7,2.333,9.5
2026-09-15 15:41:43,0.0,63.1,69.92,105.0,11.356,41.9
2026-09-15 15:41:58,0.0,51.1,54.15,60.7,2.233,9.6
2026-09-15 15:42:12,0.0,53.0,55.6,64.0,3.967,11.0
2026-09-15 15:42:26,0.0,54.3,58.37,63.9,4.167,9.6
2026-09-15 15:42:42,0.0,59.6,73.57,163.0,12.244,103.4
2026-09-15 15:42:59,0.0,58.8,61.73,66.0,2.133,7.2
2026-09-15 15:43:14,0.0,58.6,64.95,97.3,9.8,38.7
2026-09-15 15:43:29,0.0,60.4,63.9,69.7,2.9,9.3
2026-09-15 15:43:47,0.0,29.9,33.72,42.4,3.667,12.5
2026-09-15 15:44:03,0.0,30.1,34.75,42.2,4.478,12.1
2026-09-15 15:44:17,0.0,32.8,34.39,36.3,1.289,3.5
2026-09-15 15:44:37,0.0,30.9,34.06,42.3,3.922,11.4
2026-09-15 15:44:55,0.0,31.4,33.5,39.1,2.633,7.7
2026-09-15 15:45:14,0.0,30.9,49.66,86.3,27.078,55.4
2026-09-15 15:45:32,0.0,29.5,48.2,85.6,22.056,56.1
2026-09-15 15:45:49,0.0,31.1,45.8,89.0,14.5,57.9
2026-09-15 15:46:04,0.0,36.9,59.7,134.0,28.678,97.1
